ID,Title,Desc,Type,BodyPart,Equipment,Level,Rating,VideoTitle,YouTubeChannel,YouTubeLink,VideoMatch
54,Preacher Curl,Preacher Curl exercise targeting biceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Biceps,EZ Bar,Intermediate,4.7,How to Do a Preacher Curl | Arm Workout,Howcast,https://www.youtube.com/watch?v=DoCWeUBA0Gs,Exact
55,Concentration Curl,Concentration Curl exercise targeting biceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Biceps,Dumbbells,Beginner,4.7,How to Do a Preacher Curl | Arm Workout,Howcast,https://www.youtube.com/watch?v=DoCWeUBA0Gs,Related
56,Cable Curl,Cable Curl exercise targeting biceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Biceps,Cable Machine,Intermediate,4.7,How to Do a Barbell Curl | Arm Workout,Howcast,https://www.youtube.com/watch?v=kwG2ipFRgfo,Related
57,Incline Dumbbell Curl,Incline Dumbbell Curl exercise targeting biceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Biceps,Dumbbells,Intermediate,4.8,How to Do a Bicep Curl,Howcast,https://www.youtube.com/watch?v=kwG2ipFRgfo,Related
58,Spider Curl,Spider Curl exercise targeting biceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Biceps,Dumbbells,Intermediate,4.6,How to Do a Preacher Curl | Arm Workout,Howcast,https://www.youtube.com/watch?v=DoCWeUBA0Gs,Related
59,Zottman Curl,Zottman Curl exercise targeting biceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Biceps,Dumbbells,Intermediate,4.7,How to Do a Hammer Curl | Arm Workout,Howcast,https://www.youtube.com/watch?v=TwD-YGVP4Bk,Related
60,Tricep Pushdown,Tricep Pushdown exercise targeting triceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Triceps,Cable Machine,Beginner,4.9,Tricep Pushdown Technique,Training Station,https://www.youtube.com/watch?v=0326dy_-CzM,Related
61,Rope Tricep Pushdown,Rope Tricep Pushdown exercise targeting triceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Triceps,Cable Machine,Beginner,4.8,Tricep Pushdown Technique,Training Station,https://www.youtube.com/watch?v=0326dy_-CzM,Related
62,Overhead Tricep Extension,Overhead Tricep Extension exercise targeting triceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Triceps,Dumbbell,Beginner,4.8,How to Do the Skull Crusher,Howcast,https://www.youtube.com/watch?v=BdqzYZmL2Bc,Related
63,Skull Crusher,Skull Crusher exercise targeting triceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Triceps,EZ Bar,Intermediate,4.7,How to Do the Skull Crusher | Arm Workout,Howcast,https://www.youtube.com/watch?v=BdqzYZmL2Bc,Exact
64,Close Grip Bench Press,Close Grip Bench Press exercise targeting triceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Triceps,Barbell,Intermediate,4.8,Barbell Bench Press | Exercise | How To Do A Barbell Bench Press,Usman Ali Fitness,https://www.youtube.com/watch?v=M_YRPBqagBk,Related
65,Bench Dips,Bench Dips exercise targeting triceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Triceps,Bench,Beginner,4.4,How to Do Triceps Bench Dips,Howcast,https://www.youtube.com/watch?v=0326dy_-CzM,Exact
66,Tricep Kickback,Tricep Kickback exercise targeting triceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Triceps,Dumbbells,Beginner,4.5,How to Do the Skull Crusher,Howcast,https://www.youtube.com/watch?v=BdqzYZmL2Bc,Related
67,Cable Overhead Extension,Cable Overhead Extension exercise targeting triceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Triceps,Cable Machine,Intermediate,4.7,How to Do the Skull Crusher,Howcast,https://www.youtube.com/watch?v=BdqzYZmL2Bc,Related
68,Bodyweight Squat,Bodyweight Squat exercise targeting quadriceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Quadriceps,Bodyweight,Beginner,4.8,Barbell Squat Tutorial - Proper Form and Technique,Runna,https://www.youtube.com/watch?v=S0H0JxLAOAY,Related
69,Goblet Squat,Goblet Squat exercise targeting quadriceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Quadriceps,Dumbbell,Beginner,4.9,Barbell Squat Tutorial - Proper Form and Technique,Runna,https://www.youtube.com/watch?v=S0H0JxLAOAY,Related
70,Barbell Back Squat,Barbell Back Squat exercise targeting quadriceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Quadriceps,Barbell,Intermediate,5.0,Barbell Squat Tutorial - Proper Form and Technique,Runna,https://www.youtube.com/watch?v=S0H0JxLAOAY,Exact
71,Front Squat,Front Squat exercise targeting quadriceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Quadriceps,Barbell,Intermediate,4.9,Barbell Squat Tutorial - Proper Form and Technique,Runna,https://www.youtube.com/watch?v=S0H0JxLAOAY,Related
72,Hack Squat,Hack Squat exercise targeting quadriceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Quadriceps,Hack Squat Machine,Intermediate,4.8,Barbell Squat Tutorial - Proper Form and Technique,Runna,https://www.youtube.com/watch?v=S0H0JxLAOAY,Related
73,Leg Press,Leg Press exercise targeting quadriceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Quadriceps,Leg Press Machine,Beginner,4.9,Leg Press Technique,Exercise Tutorial,https://www.youtube.com/watch?v=S0H0JxLAOAY,Related
74,Bulgarian Split Squat,Bulgarian Split Squat exercise targeting quadriceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Quadriceps,Dumbbells,Intermediate,4.9,How To Perform Bulgarian Split Squats,Buff Dudes Workouts,https://www.youtube.com/watch?v=DeCnHqrN22U,Exact
75,Walking Lunges,Walking Lunges exercise targeting legs. Use controlled form and a suitable resistance for the beginner level.,Strength,Legs,Dumbbells,Beginner,4.8,Bulgarian Split Squat / Lunge Technique,Buff Dudes Workouts,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
76,Reverse Lunges,Reverse Lunges exercise targeting legs. Use controlled form and a suitable resistance for the beginner level.,Strength,Legs,Dumbbells,Beginner,4.7,Bulgarian Split Squat / Lunge Technique,Buff Dudes Workouts,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
77,Jump Squat,Jump Squat exercise targeting legs. Use controlled form and a suitable resistance for the intermediate level.,Power,Legs,Bodyweight,Intermediate,4.7,Barbell Squat Tutorial - Proper Form and Technique,Runna,https://www.youtube.com/watch?v=S0H0JxLAOAY,Related
78,Barbell Lunge,Barbell Lunge exercise targeting legs. Use controlled form and a suitable resistance for the intermediate level.,Strength,Legs,Barbell,Intermediate,4.7,Bulgarian Split Squat / Lunge Technique,Buff Dudes Workouts,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
79,Step Up,Step Up exercise targeting legs. Use controlled form and a suitable resistance for the beginner level.,Strength,Legs,Bench,Beginner,4.7,Bulgarian Split Squat / Lunge Technique,Buff Dudes Workouts,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
80,Leg Extension,Leg Extension exercise targeting quadriceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Quadriceps,Leg Extension Machine,Beginner,4.7,Leg Extension Technique,Exercise Tutorial,https://www.youtube.com/watch?v=S0H0JxLAOAY,Related
81,Leg Curl,Leg Curl exercise targeting hamstrings. Use controlled form and a suitable resistance for the beginner level.,Strength,Hamstrings,Leg Curl Machine,Beginner,4.8,Romanian Deadlift / Hamstring Technique,Jack Hanrahan Fitness,https://www.youtube.com/watch?v=ZEnWV4kguKc,Related
82,Seated Leg Curl,Seated Leg Curl exercise targeting hamstrings. Use controlled form and a suitable resistance for the beginner level.,Strength,Hamstrings,Leg Curl Machine,Beginner,4.7,Romanian Deadlift / Hamstring Technique,Jack Hanrahan Fitness,https://www.youtube.com/watch?v=ZEnWV4kguKc,Related
83,Nordic Hamstring Curl,Nordic Hamstring Curl exercise targeting hamstrings. Use controlled form and a suitable resistance for the pro level.,Strength,Hamstrings,Bodyweight,Pro,4.9,Romanian Deadlift / Hamstring Technique,Jack Hanrahan Fitness,https://www.youtube.com/watch?v=ZEnWV4kguKc,Related
84,Hip Thrust,Hip Thrust exercise targeting glutes. Use controlled form and a suitable resistance for the intermediate level.,Strength,Glutes,Barbell,Intermediate,5.0,How To Do A Bodyweight Hip Thrust,Fit&Well,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
85,Glute Bridge,Glute Bridge exercise targeting glutes. Use controlled form and a suitable resistance for the beginner level.,Strength,Glutes,Bodyweight,Beginner,4.8,How To Do A Bodyweight Hip Thrust,Fit&Well,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
86,Cable Kickback,Cable Kickback exercise targeting glutes. Use controlled form and a suitable resistance for the beginner level.,Strength,Glutes,Cable Machine,Beginner,4.7,Hip Thrust / Glute Technique,Fit&Well,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
87,Donkey Kick,Donkey Kick exercise targeting glutes. Use controlled form and a suitable resistance for the beginner level.,Strength,Glutes,Bodyweight,Beginner,4.6,Hip Thrust / Glute Technique,Fit&Well,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
88,Standing Calf Raise,Standing Calf Raise exercise targeting calves. Use controlled form and a suitable resistance for the beginner level.,Strength,Calves,Bodyweight,Beginner,4.6,Calf Raise Technique,Exercise Tutorial,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
89,Seated Calf Raise,Seated Calf Raise exercise targeting calves. Use controlled form and a suitable resistance for the beginner level.,Strength,Calves,Machine,Beginner,4.7,Calf Raise Technique,Exercise Tutorial,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
90,Single Leg Calf Raise,Single Leg Calf Raise exercise targeting calves. Use controlled form and a suitable resistance for the beginner level.,Strength,Calves,Bodyweight,Beginner,4.6,Calf Raise Technique,Exercise Tutorial,https://www.youtube.com/watch?v=DeCnHqrN22U,Related
91,Farmer Walk,Farmer Walk exercise targeting full body. Use controlled form and a suitable resistance for the intermediate level.,Strength,Full Body,Dumbbells,Intermediate,4.9,Kettlebell Swing / Full Body Technique,Layman's Fitness,https://www.youtube.com/watch?v=_ACu0aVD12M,Related
92,Kettlebell Swing,Kettlebell Swing exercise targeting full body. Use controlled form and a suitable resistance for the intermediate level.,Power,Full Body,Kettlebell,Intermediate,4.9,Kettlebell Swing,Bell Works Fitness,https://www.youtube.com/watch?v=_ACu0aVD12M,Exact
93,Turkish Get Up,Turkish Get Up exercise targeting full body. Use controlled form and a suitable resistance for the pro level.,Strength,Full Body,Kettlebell,Pro,4.8,Turkish Get-Up,Breaking Muscle,https://www.youtube.com/watch?v=0vhJza-2xiI,Exact
94,Burpee,Burpee exercise targeting full body. Use controlled form and a suitable resistance for the intermediate level.,Cardio,Full Body,Bodyweight,Intermediate,4.8,The Burpee,CrossFit,https://www.youtube.com/watch?v=0vhJza-2xiI,Related
95,Mountain Climber,Mountain Climber exercise targeting core. Use controlled form and a suitable resistance for the beginner level.,Cardio,Core,Bodyweight,Beginner,4.7,The RIGHT Way To Do Push-Ups (PERFECT FORM),Mind Pump TV,https://www.youtube.com/watch?v=i9sTjhN4Z3M,Related
96,Plank,Plank exercise targeting core. Use controlled form and a suitable resistance for the beginner level.,Core,Core,Bodyweight,Beginner,4.9,How to Do a Plank to Get Great Abs,Howcast,https://www.youtube.com/watch?v=4E1QqHIO_Ys,Exact
97,Side Plank,Side Plank exercise targeting core. Use controlled form and a suitable resistance for the beginner level.,Core,Core,Bodyweight,Beginner,4.7,How to Do a Plank to Get Great Abs,Howcast,https://www.youtube.com/watch?v=4E1QqHIO_Ys,Related
98,Hanging Leg Raise,Hanging Leg Raise exercise targeting core. Use controlled form and a suitable resistance for the intermediate level.,Core,Core,Pull Up Bar,Intermediate,4.8,Ab Wheel / Core Technique,Citizen Athletics,https://www.youtube.com/watch?v=CxS10wcWq2s,Related
99,Ab Wheel Rollout,Ab Wheel Rollout exercise targeting core. Use controlled form and a suitable resistance for the pro level.,Core,Core,Ab Wheel,Pro,4.9,Best Core Exercise - Ab Wheel Rollout Tutorial,Citizen Athletics,https://www.youtube.com/watch?v=CxS10wcWq2s,Exact
100,Russian Twist,Russian Twist exercise targeting core. Use controlled form and a suitable resistance for the intermediate level.,Core,Core,Bodyweight,Intermediate,4.6,How to Do a Russian Twist | Ab Workout,Howcast,https://www.youtube.com/watch?v=wkD8rjkodUI,Exact
